arch,seed,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
widelenet,42,1e-06,diag,0.5,bridge,180,13.403016090393066,0.6227759122848511,0.35690000653266907,1.2584177255630493,15.535892486572266,0.7184520363807678,0.23960000276565552,1.4614155292510986
widelenet,123,1e-06,diag,0.5,bridge,5,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,10.169677734375,0.565637469291687,0.40630000829696655,1.1484124660491943
widelenet,123,1e-06,diag,0.5,bridge,15,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,10.63099193572998,0.6137810349464417,0.35370001196861267,1.245904564857483
widelenet,123,1e-06,diag,0.5,bridge,30,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,11.453612327575684,0.6666117310523987,0.29339998960494995,1.3553982973098755
widelenet,123,1e-06,diag,0.5,bridge,45,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,13.799055099487305,0.7686261534690857,0.17730000615119934,1.5689183473587036
widelenet,123,1e-06,diag,0.5,bridge,60,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,17.06714630126953,0.8601585030555725,0.08869999647140503,1.7479361295700073
widelenet,123,1e-06,diag,0.5,bridge,90,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,20.511865615844727,0.8708429336547852,0.08659999817609787,1.7651746273040771
widelenet,123,1e-06,diag,0.5,bridge,120,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,17.135433197021484,0.795804500579834,0.14900000393390656,1.6236915588378906
widelenet,123,1e-06,diag,0.5,bridge,160,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,14.25560474395752,0.6984134912490845,0.23960000276565552,1.4370179176330566
widelenet,123,1e-06,diag,0.5,bridge,180,11.548337936401367,0.5848503112792969,0.39149999618530273,1.1845439672470093,16.13286781311035,0.7316230535507202,0.218299999833107,1.4945176839828491
widelenet,0,1e-06,diag,1.0,probit,5,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,0.1744343489408493,0.09989659488201141,0.9890000224113464,0.061879713088274
widelenet,0,1e-06,diag,1.0,probit,15,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,0.27842089533805847,0.1351023018360138,0.9763000011444092,0.10661335289478302
widelenet,0,1e-06,diag,1.0,probit,30,0.13688908517360687,0.0805094912648201,0.9918000102043152,0.04701869934797287,0.6662095785140991,0.2080223560333252,0.8942999839782715,0.27641576528549194
